USER_ID,PRD_CAT,PRD_ID,GENDER,AGE_GRP,MARITAL_YN,PUR_AMT
1001390,2,P00282342,M,36-45,1,9796
1001216,1,P00111242,M,26-35,1,19198
1001128,2,P00117142,M,26-35,0,12904
1000514,3,P00289942,M,26-35,1,13306
1001254,1,P00136742,F,18-25,0,3873
1000175,3,P00057542,F,26-35,0,10604
1001599,1,P00113142,M,26-35,0,11596
1001117,1,P00016342,M,18-25,0,11916
1001212,1,P00198742,F,51-55,0,11965
1000999,1,P00351142,M,26-35,0,19627
1000611,1,P00229742,M,36-45,0,15886
1000477,1,P00214242,M,36-45,0,11406
1001589,1,P00277442,M,26-35,0,18967
1001340,1,P00075342,M,26-35,0,4213
1000058,1,P00341342,M,26-35,0,15858
1000533,1,P00349942,M,26-35,0,12054
1001343,1,P00002142,M,36-45,0,15171
1001040,1,P00221042,M,26-35,1,12041
1001671,1,P00127742,M,36-45,0,12123
1000385,1,P00057942,M,26-35,0,19659
1000192,1,P00191442,M,18-25,0,7656
1001219,1,P00002042,M,26-35,1,12041
1000266,1,P00121342,M,36-45,0,19013
1001119,2,P0096642,M,36-45,1,9596
1001647,1,P00222042,M,18-25,0,4207
1000715,1,P00046742,M,18-25,0,15250
1000011,2,P00116842,F,26-35,0,10051
1000772,2,P00116842,M,18-25,0,12824
1000482,1,P00009342,M,26-35,1,7929
1000368,1,P00208742,M,26-35,0,19260
1000678,1,P00053942,M,26-35,1,12060
1001146,1,P00079742,F,18-25,1,3972
1001165,1,P00233742,M,26-35,1,12065
1000411,2,P00171542,F,46-50,1,10054
1001433,1,P00148542,F,18-25,0,15728
1000522,2,P00304642,M,26-35,0,9791
1000424,3,P00255742,M,26-35,0,10882
1000350,1,P00242742,M,46-50,0,11540
1000520,3,P00294442,F,36-45,0,10663
1000429,1,P00093542,M,18-25,0,8240
1001100,3,P00070542,M,26-35,1,8177
1000802,1,P00127642,M,26-35,0,18991
1000065,1,P00278042,M,36-45,1,15662
1001292,1,P00191442,M,26-35,0,7780
1000335,1,P00075342,M,36-45,1,7614
1001473,1,P00046742,M,26-35,0,11964
1000765,2,P00171542,M,26-35,0,13155
1001470,1,P00046742,M,18-25,1,19022
1000214,1,P00035942,M,18-25,0,15894
1001311,1,P00140042,M,18-25,0,7827
1000547,3,P00070942,M,36-45,0,13585
1000163,1,P00144642,M,18-25,0,11421
1000437,3,P00058142,M,36-45,1,13673
1000975,1,P00318742,M,36-45,1,15345
1001793,1,P00147942,M,26-35,0,19300
1001632,2,P00191942,M,26-35,0,3340
1001350,1,P0097242,F,36-45,0,8031
1000695,1,P00223542,F,18-25,0,4189
1000720,1,P00002142,M,18-25,0,7982
1000135,2,P00295942,M,18-25,1,16241
1001186,1,P00346242,M,18-25,1,15486
1001635,1,P00251942,M,26-35,0,15162
1000685,1,P00105342,M,26-35,1,15674
1000277,1,P00057642,F,36-45,0,15819
1001556,2,P00186642,M,18-25,1,6522
1001356,1,P00070342,F,18-25,0,4490
1001219,1,P00289842,M,26-35,1,8257
1000462,3,P00189842,M,18-25,1,10965
1001628,3,P00248442,M,18-25,0,10568
1001675,1,P00133442,F,26-35,1,11827
1000482,1,P00090942,M,26-35,1,11615
1000588,3,P00057542,F,26-35,0,7920
1001125,1,P00122442,F,18-25,0,11707
1001420,1,P00008842,M,18-25,0,11587
1000735,1,P00006942,M,26-35,0,8272
1001608,3,P00337642,M,26-35,1,2765
1000462,1,P00110742,M,18-25,1,19513
1000479,1,P00025442,M,26-35,0,15622
1001239,1,P00184942,F,26-35,0,19448
1001155,1,P00329542,M,26-35,0,11392
1000824,1,P00140742,M,36-45,1,4031
1000431,1,P00154042,M,18-25,0,11516
1000260,1,P00117042,M,18-25,0,15351
1000744,3,P00216342,M,26-35,0,8260
1000202,1,P00146742,M,18-25,0,11618
1000476,1,P00260442,M,36-45,0,11704
1000452,1,P00016042,M,51-55,1,19655
1000591,2,P00227842,M,26-35,0,6838
1000839,1,P00269942,M,26-35,0,19532
1000517,2,P00186542,F,26-35,0,9875
1000934,3,P00190142,F,36-45,0,8058
1000477,1,P00062842,M,36-45,0,15723
1000788,1,P00025442,M,26-35,0,11536
1000058,3,P00195942,M,26-35,0,10736
1001184,1,P00010742,F,26-35,1,19294
1000624,1,P00046742,M,26-35,0,15587
1001695,1,P00001042,M,26-35,1,11756
1000324,2,P00325742,M,36-45,1,13216
1000872,1,P00270942,M,51-55,1,15724
1001172,1,P00105142,F,26-35,1,19462
1001114,1,P00037142,F,18-25,0,19196
1000981,2,P00118342,M,26-35,1,13227
1000560,1,P00127442,M,46-50,1,19122
1000639,1,P00147942,M,46-50,1,15571
1001101,1,P00251842,M,36-45,0,11715
1000328,1,P00169742,M,36-45,0,7910
1000311,1,P00193542,M,18-25,1,19385
1000337,2,P00000242,M,18-25,0,13284
1000329,2,P00316042,M,36-45,0,3794
1001604,1,P00184942,M,26-35,1,15298
1000093,1,P00278042,M,26-35,1,15676
1000624,1,P00128042,M,26-35,0,15505
1000190,1,P00002142,M,26-35,0,12073
1001301,1,P00122442,F,26-35,1,7688
1001448,1,P00182242,F,26-35,0,11894
1000877,1,P00127642,M,26-35,1,19042
1001650,1,P00130742,M,26-35,0,11871
1001246,2,P00350442,M,18-25,0,10142
1001696,1,P00113242,M,36-45,0,19098
1000221,1,P00160042,F,26-35,1,7861
1000877,1,P00111142,M,26-35,1,18956
1001601,1,P00332242,M,26-35,0,19362
1001691,1,P00080342,F,26-35,1,19681
1001181,1,P00090942,M,36-45,1,11568
1001647,3,P00190042,M,18-25,0,10986
1001647,1,P00244242,M,18-25,0,3956
1000563,3,P00001342,M,26-35,0,3082
1001640,1,P00241642,M,36-45,0,12058
1001426,1,P00006942,M,18-25,0,11894
1001665,1,P00346242,M,46-50,0,11575
1001447,1,P00038442,M,18-25,0,4226
1000937,1,P00146142,M,26-35,1,4154
1001496,1,P00233142,M,26-35,0,11599
1000550,3,P00348442,M,46-50,1,5545
1000310,3,P00216342,F,18-25,0,13259
1000549,1,P00278042,M,26-35,0,18979
1000770,3,P00189842,M,18-25,1,10569
1001675,2,P00225842,F,26-35,1,6460
1001260,1,P00112142,M,26-35,0,15635
1001264,2,P00002942,M,26-35,0,16409
1000930,1,P00044442,M,26-35,1,15753
1000560,1,P00046742,M,46-50,1,19684
1000620,1,P00270542,M,18-25,0,15541
1000817,3,P00255742,M,18-25,0,13309
1000256,1,P00341342,M,46-50,0,19477
1001675,2,P00012242,F,26-35,1,3461
1001051,3,P0099742,F,26-35,1,10944
1001627,1,P00160942,M,18-25,1,12068
1001350,1,P00118642,F,36-45,0,15540
1000036,1,P00110842,M,26-35,0,15843
1000424,3,P0096142,M,26-35,0,13313
1000157,1,P00140042,M,36-45,0,15544
1000520,1,P00338442,F,36-45,0,7724
1000839,2,P00166942,M,26-35,0,13160
1000717,1,P00351142,M,26-35,0,11483
1001746,1,P00233442,M,26-35,1,19507
1001449,1,P00053442,M,36-45,1,15528
1000881,3,P00220242,M,18-25,0,8321
1000053,1,P00130742,M,26-35,0,19251
1000329,1,P00070342,M,36-45,0,11387
1000033,1,P00103042,M,46-50,1,15514
1000530,1,P00248942,M,26-35,1,19396
1000571,1,P00032042,M,51-55,1,11835
1001778,1,P00057642,M,18-25,0,19662
1001169,1,P00113142,M,26-35,0,19203
1001268,1,P00177442,M,51-55,1,18963
1001058,1,P00140742,M,26-35,0,12090
1000380,1,P00338442,M,26-35,0,4165
1000914,1,P00080342,F,36-45,0,15534
1000453,2,P00304642,M,18-25,0,10143
1001128,2,P00223842,M,26-35,0,13191
1001726,2,P00065242,M,26-35,1,3427
1000581,2,P00295942,M,51-55,1,12899
1001501,1,P00110742,M,26-35,0,15755
1000585,1,P00145042,M,18-25,0,15660
1001367,1,P00242742,M,26-35,0,11422
1000482,2,P00274342,M,26-35,1,6476
1000173,1,P00278942,M,26-35,1,15833
1001031,2,P00295942,M,36-45,1,12880
1001031,1,P00334242,M,36-45,1,11530
1000533,1,P00070342,M,26-35,0,7773
1001587,1,P00110842,F,26-35,0,15279
1000192,1,P00036842,M,18-25,0,11918
1001489,1,P00032042,F,36-45,1,15434
1000712,1,P00251842,M,26-35,0,8118
1001544,1,P00025442,M,26-35,0,19008
1001647,1,P00233642,M,18-25,0,15444
1001261,1,P00197342,M,18-25,0,15677
1000192,1,P00014842,M,18-25,0,4446
1001150,1,P00110842,F,26-35,0,11490
1000445,1,P00334042,M,46-50,1,15492
1001219,1,P00132842,M,26-35,1,8138
1000720,2,P00191342,M,18-25,0,3808
1001748,1,P00028442,M,51-55,1,11970
1000245,1,P00346342,M,36-45,0,4226
1000337,1,P00112142,M,18-25,0,15737
1000549,1,P00111142,M,26-35,0,19366
1001727,1,P00243942,M,36-45,1,19508
1001377,1,P00052042,M,36-45,1,8202
1001181,1,P00168742,M,36-45,1,8295
1000337,2,P00118342,M,18-25,0,16295
1001726,1,P00227642,M,26-35,1,4011
1001051,1,P00147942,F,26-35,1,15739
1001395,3,P00069042,M,26-35,1,13492
1001447,1,P00243942,M,18-25,0,15318
1001413,1,P00110842,M,18-25,1,15268
1000352,1,P00113242,M,18-25,0,19631
1000777,1,P00289242,M,18-25,0,12127
1000355,3,P00350942,M,18-25,0,5651
1000854,3,P00249642,F,26-35,0,7980
1001340,1,P00147642,M,26-35,0,4040
1001624,1,P00066642,M,26-35,1,8090
1001418,1,P00032042,M,18-25,1,11807
1000230,1,P00334242,M,46-50,0,19499
1000757,1,P00182342,M,26-35,0,11678
1000442,1,P00221442,M,26-35,0,11585
1000453,1,P00350342,M,18-25,0,11509
1001246,1,P00318742,M,18-25,0,15353
1001418,1,P00111142,M,18-25,1,11578
1001758,1,P00110842,F,26-35,0,19459
1000308,1,P00125942,M,26-35,1,12064
1000082,1,P00044442,M,26-35,1,19467
1000434,1,P00025442,F,46-50,0,15330
1000544,2,P00277642,M,36-45,0,9941
1000999,1,P00129042,M,26-35,0,11562
1000474,3,P00210342,M,26-35,0,13355
1001701,1,P00057642,F,26-35,0,15603
1001058,1,P00303342,M,26-35,0,11992
1000181,1,P00110742,M,18-25,0,19111
1000186,1,P00112142,M,18-25,0,19558
1001510,1,P00046742,F,26-35,0,19272
1001758,1,P00288942,F,26-35,0,18987
1000026,1,P00259842,M,26-35,1,15709
1001586,2,P00166942,M,46-50,1,15907
1000798,1,P00120042,F,26-35,1,8238
1001387,3,P00190042,F,51-55,1,5642
1000702,1,P00351342,M,36-45,1,7880
1000566,1,P00144642,M,26-35,0,8247
1000670,2,P00085942,M,26-35,1,10119
1001609,1,P00036842,F,36-45,0,11913
1000023,1,P00127842,M,36-45,1,15177
1001600,1,P00025442,M,36-45,1,15485
1000770,2,P00116842,M,18-25,1,9971
1000616,3,P00070542,M,26-35,0,13455
1001392,2,P00266542,M,46-50,1,9817
1001501,1,P00073842,M,26-35,0,19179
1000522,1,P00270942,M,26-35,0,19075
1001349,1,P00119642,M,51-55,1,19435
1001266,1,P00226542,M,26-35,1,7906
1001702,3,P00351242,M,18-25,0,10653
1001491,1,P00120042,M,18-25,0,15539
1001059,1,P00221342,F,26-35,0,7980
1000157,1,P00233942,M,36-45,0,11763
1001466,1,P00112142,M,18-25,1,19272
1001717,1,P00233542,F,51-55,0,15400
1000937,1,P00221242,M,26-35,1,11651
1001530,1,P00120042,M,26-35,1,15679
1001519,1,P00304242,M,18-25,0,15433
1000062,1,P00127542,F,36-45,0,11817
1001464,1,P00277842,M,36-45,1,15491
1001699,1,P00112142,F,26-35,0,15423
1000720,2,P00144042,M,18-25,0,9854
1000477,1,P00034442,M,36-45,0,15512
1001285,1,P00221842,M,36-45,1,11972
1000117,1,P00163242,M,26-35,1,15839
1001503,1,P00046742,M,26-35,0,11432
1000169,3,P00119142,M,26-35,0,5423
1000566,1,P00332242,M,26-35,0,11752
1000637,3,P00210342,M,36-45,1,8220
1001671,1,P00161242,M,36-45,0,11459
1000957,3,P00255742,M,36-45,1,10892
1001125,1,P00010742,F,18-25,0,15172
1001246,1,P00182142,M,18-25,0,15383
1000415,1,P00240242,F,36-45,1,15219
1000954,3,P00350942,F,26-35,1,7916
1001445,1,P00262242,M,26-35,1,4260
1000704,1,P00267542,F,36-45,0,15265
1000122,3,P00249642,F,18-25,0,3094
1001726,1,P00113342,M,26-35,1,19442
1001531,3,P00064042,M,46-50,1,8145
1000417,3,P00058342,F,26-35,1,8072
1000233,1,P00090942,F,46-50,1,19582
1001272,2,P00118342,M,18-25,0,13066
1000052,1,P00000642,M,18-25,0,19060
1000400,3,P00289942,F,18-25,1,13495
1000533,1,P00147942,M,26-35,0,11826
1001693,2,P00117142,M,26-35,1,13124
1001106,1,P00277442,M,18-25,0,15320
1001179,1,P00122442,M,51-55,1,11444
1001306,1,P00177542,M,26-35,0,19413
1000319,1,P00034042,F,51-55,1,15788
1001489,2,P00178842,F,36-45,1,6560
1001647,1,P0098342,M,18-25,0,15419
1000181,1,P00145042,M,18-25,0,11806
1001100,1,P00182142,M,26-35,1,12082
1000198,1,P00217442,M,26-35,1,15174
1000148,2,P00044242,M,51-55,1,12759
1001646,1,P00223542,M,26-35,1,19623
1001733,1,P00160942,M,18-25,1,11676
1001151,1,P00057942,M,26-35,1,15374
1001422,1,P00321042,M,36-45,0,7914
1000424,1,P00303342,M,26-35,0,15845
1000084,1,P00046742,M,18-25,0,15731
1000990,1,P00173342,M,18-25,0,15848
1001193,1,P00216142,M,26-35,1,15391
1000889,1,P00032042,M,46-50,0,7930
1000255,1,P00154042,M,36-45,1,11610
1000678,1,P00034442,M,26-35,1,15795
1000403,1,P00355142,M,18-25,0,11888
1000127,2,P00147542,F,46-50,1,9565
1001687,2,P00085942,M,26-35,0,16489
1001600,1,P00030842,M,36-45,1,11959
1001246,1,P00147742,M,18-25,0,11562
1001010,1,P00303342,M,26-35,0,11713
1000504,1,P00334642,M,26-35,0,12004
1000777,1,P00351142,M,18-25,0,15460
1001576,1,P00221442,F,46-50,1,19054
1001086,1,P00114342,M,18-25,0,19181
1001433,1,P00142942,F,18-25,0,11439
1001473,1,P00352142,M,26-35,0,11677
1001701,3,P0096042,F,26-35,0,8134
1000773,1,P00237542,M,26-35,0,19116
1000192,1,P00127442,M,18-25,0,15202
1000754,1,P00025442,M,36-45,0,15822
1000204,1,P00054542,M,26-35,1,11411
1001146,1,P00142942,F,18-25,1,8130
1000053,1,P00127242,M,26-35,0,15734
1001706,1,P00037842,M,26-35,1,7637
1001447,1,P00050442,M,18-25,0,7842
1000639,3,P00195842,M,46-50,1,8071
1001203,1,P00118642,F,26-35,0,19162
1001164,1,P00110842,F,26-35,1,11699
1000092,2,P00145242,F,18-25,0,10135
1001339,1,P00221442,M,36-45,0,7863
1000650,1,P00130742,M,26-35,1,4339
1000420,2,P00100442,M,36-45,0,15914
1000102,1,P00114942,M,36-45,0,19388
1000846,3,P00195742,M,26-35,1,13586
1000355,3,P00190742,M,18-25,0,10976
1000056,1,P00044442,M,36-45,1,19110
1000577,1,P00201442,M,36-45,0,15388
1000113,1,P00307542,M,18-25,0,11712
1001502,1,P00169742,M,18-25,0,11571
1000656,1,P00121342,F,46-50,1,15176
1000192,1,P0097342,M,18-25,0,15323
1001473,1,P00016042,M,26-35,0,11447
1001466,1,P00120042,M,18-25,1,19576
1001726,1,P00128042,M,26-35,1,4062
1000910,1,P00110742,F,51-55,1,15565
1001752,2,P00002942,M,26-35,0,13263
1001497,1,P00002142,M,51-55,1,11682
1000817,1,P00221442,M,18-25,0,19122
1000187,3,P00248442,F,46-50,0,10904
1001354,1,P00062842,F,26-35,0,15798
1001314,3,P00249642,F,18-25,0,2638
1000174,1,P00334242,M,26-35,0,19634
1001763,1,P00057642,M,36-45,0,15853
1001426,2,P00275842,M,18-25,0,6726
1000271,1,P00120042,M,18-25,0,19426
1001134,1,P00223542,M,18-25,0,19399
1000505,2,P00072442,M,36-45,1,9719
1000260,1,P00129342,M,18-25,0,7951
1001489,1,P00243942,F,36-45,1,7987
1000352,1,P00359742,M,18-25,0,7701
1001647,1,P00070042,M,18-25,0,15751
1000273,2,P00325742,M,18-25,1,13182
1001359,1,P00251842,M,36-45,0,8187
1000846,1,P00243942,M,26-35,1,15184
1000549,1,P00147742,M,26-35,0,4295
1001636,1,P00237542,F,26-35,0,8165
1000744,1,P00042942,M,26-35,0,11981
1000442,2,P00266542,M,26-35,0,16365
1001560,1,P0097342,F,26-35,0,11379
1000576,2,P00345842,F,46-50,1,13227
1001320,1,P00028042,M,26-35,0,19672
1000029,1,P00105142,M,36-45,0,12110
1000669,1,P00057942,M,26-35,0,15464
1000102,1,P00054242,M,36-45,0,11446
1000348,1,P00242742,M,51-55,1,15261
1000292,1,P00170342,M,36-45,1,11910
1001273,3,P00113442,M,36-45,1,13496
1001299,1,P00329542,M,26-35,0,7581
1001675,1,P00146742,F,26-35,1,15601
1001525,1,P00117342,F,26-35,1,15282
1001340,1,P00286742,M,26-35,0,4299
1001155,1,P00028442,M,26-35,0,11545
1001647,1,P00277942,M,18-25,0,7898
1000166,2,P00318142,M,18-25,1,9752
1000445,1,P00059642,M,46-50,1,12058
1000530,1,P00112142,M,26-35,1,19584
1001466,1,P00350342,M,18-25,1,19705
1000092,3,P00130442,F,18-25,0,2733
1001451,1,P00042942,M,36-45,0,11829
1000429,1,P00278042,M,18-25,0,11520
1001753,1,P00242742,M,36-45,0,11924
1001139,1,P00128742,M,26-35,0,11445
1000390,1,P00122442,M,26-35,0,11622
1001120,3,P00237042,M,18-25,1,13212
1000927,1,P00130742,F,26-35,1,19676
1000476,1,P00079742,M,36-45,0,15667
1000623,1,P00132642,M,26-35,1,15287
1000816,1,P00090942,M,46-50,0,15164
1000515,1,P00110842,M,26-35,1,15203
1001206,1,P00073842,F,51-55,1,12103
1000678,3,P00351742,M,26-35,1,8240
1000549,1,P00053442,M,26-35,0,7747
1000880,1,P00015542,M,36-45,0,4014
1000495,3,P00289942,M,18-25,0,13674
1000150,1,P00113342,M,36-45,1,15590
1001738,1,P00117042,M,36-45,0,19123
1001383,1,P00303342,F,26-35,0,12057
1001317,1,P00182742,M,46-50,1,11661
1000481,1,P00113142,M,46-50,0,15487
1000663,1,P00165442,F,26-35,0,11904
1001181,1,P00329542,M,36-45,1,15568
1001142,1,P00173942,M,18-25,0,12068
1000036,1,P00057942,M,26-35,0,19486
1001600,1,P00114942,M,36-45,1,19090
1000631,1,P00127842,M,36-45,1,11770
1001639,1,P00046742,M,26-35,0,19311
1000268,1,P00289242,F,18-25,0,15245
1001179,2,P00345842,M,51-55,1,10035
1001306,1,P00237542,M,26-35,0,18959
1001520,1,P00110842,M,26-35,0,15527
1000509,1,P00110842,M,26-35,1,12061
1000306,2,P00187442,M,18-25,0,13057
1000033,1,P00121342,M,46-50,1,11853
1001642,1,P00217542,M,51-55,0,3871
1001617,2,P00275842,M,26-35,0,12762
1000803,1,P00118442,M,18-25,0,19240
1001092,3,P00191642,F,18-25,0,10907
1000549,1,P00054242,M,26-35,0,19696
1001746,1,P00233342,M,26-35,1,15395
1000192,1,P00173942,M,18-25,0,15351
1001645,1,P00145042,F,18-25,1,15529
1000437,1,P00111142,M,36-45,1,15466
1001504,1,P00010942,M,18-25,0,7771
1001746,1,P00046742,M,26-35,1,19282
1001685,2,P00085942,M,36-45,0,16225
1000321,1,P00110942,M,18-25,0,19016
1000092,3,P00196242,F,18-25,0,5446
1001358,1,P00223542,M,36-45,1,11393
1001737,1,P00129142,M,36-45,0,11628
1001315,1,P00080342,M,36-45,1,19017
1000720,3,P00035542,M,18-25,0,11044
1000017,2,P00199342,M,51-55,0,16047
1001496,1,P00160642,M,26-35,0,11918
1001632,3,P00106742,M,26-35,0,10568
1001142,3,P0099742,M,18-25,0,3140
1000881,1,P00359742,M,18-25,0,8015
1000476,1,P00143642,M,36-45,0,15801
1000651,1,P00227642,M,36-45,0,7580
1000548,1,P00355142,F,36-45,1,15570
1000418,1,P00182342,F,26-35,1,11472
1001553,3,P00190542,F,26-35,0,13368
1001496,1,P00129042,M,26-35,0,7893
1001545,1,P00278242,M,26-35,0,7992
1000271,1,P00267542,M,18-25,0,4108
1001767,1,P00143642,M,26-35,0,4238
1001778,3,P00289942,M,18-25,0,13501
1000036,1,P00034042,M,26-35,0,15370
1000412,3,P00119142,M,36-45,1,13352
1000844,1,P00201342,M,26-35,1,11604
1000604,1,P00046742,M,46-50,1,15505
1000720,3,P00289942,M,18-25,0,10978
1001544,1,P00255942,M,26-35,0,15718
1000122,1,P00221842,F,18-25,0,8328
1000777,2,P00186642,M,18-25,0,6921
1000082,1,P00073842,M,26-35,1,19645
1000791,1,P00173842,M,36-45,0,12004
1000798,1,P00025442,F,26-35,1,18980
1000569,1,P00145042,F,18-25,1,15250
1000604,1,P00122442,M,46-50,1,8168
1000854,1,P00006942,F,26-35,0,11787
1000520,2,P00196342,F,36-45,0,6906
1001260,1,P00352742,M,26-35,0,15278
1001594,1,P00062842,F,36-45,0,8208
1001128,2,P00116842,M,26-35,0,9750
1000945,1,P00127742,M,46-50,0,11770
1001089,1,P00240242,M,36-45,1,11552
1000377,3,P00189842,M,26-35,0,11073
1000780,1,P00217442,M,26-35,0,15626
1001762,1,P00318742,M,26-35,1,11963
1001359,3,P00255742,M,36-45,0,10635
1000482,1,P00102942,M,26-35,1,7614
1001613,1,P00080342,M,18-25,0,19261
1001635,1,P00186142,M,26-35,0,12119
1001775,1,P00242742,M,26-35,1,11692
1001285,1,P00289242,M,36-45,1,15521
1000850,1,P00115142,M,36-45,1,15685
1001375,3,P00069042,F,46-50,1,10826
1000453,1,P00118442,M,18-25,0,11748
1001094,1,P00105142,F,18-25,0,11640
1001723,1,P00111142,M,36-45,1,19066
1000817,1,P00177442,M,18-25,0,19126
1001109,1,P00345742,M,18-25,0,4482
1000018,2,P00196342,F,18-25,0,16265
1000340,3,P00058342,F,26-35,1,8326
1000655,1,P00227642,F,26-35,0,7906
1000787,1,P00309142,M,18-25,0,11529
1000647,1,P00140742,M,36-45,1,19245
1001611,1,P00117042,M,26-35,0,19186
1001447,2,P00010542,M,18-25,0,9893
1000523,1,P00339942,M,51-55,1,15518
1000735,1,P00339842,M,26-35,0,15459
1001449,1,P00209742,M,36-45,1,11862
1000772,1,P00170342,M,18-25,0,11665
1001160,1,P00183442,M,18-25,0,11570
1001572,1,P00010742,F,26-35,1,15887
1001579,3,P0096942,M,26-35,0,13190
1000720,1,P00233542,M,18-25,0,4316
1001726,1,P00214242,M,26-35,1,11950
1001100,3,P00190742,M,26-35,1,8049
1001727,1,P00267342,M,36-45,1,15356
1001391,1,P00057942,M,36-45,1,7769
1001324,3,P00249642,M,36-45,0,13453
1000082,1,P00144642,M,26-35,1,11889
1000192,1,P00159842,M,18-25,0,7907
1001724,1,P00103042,M,18-25,0,19650
1001696,1,P00173842,M,36-45,0,15548
1001628,1,P00036842,M,18-25,0,11390
1000649,1,P00114942,M,26-35,1,19217
1000385,1,P00114942,M,26-35,0,15891
1001216,1,P00129042,M,26-35,1,8131
1001361,1,P00036842,F,26-35,0,8125
1000567,1,P00119642,M,36-45,0,19276
1001242,2,P00187442,F,36-45,1,9624
1001119,2,P00368142,M,36-45,1,13113
1000517,2,P00195342,F,26-35,0,12745
1000874,1,P00217442,M,46-50,1,11793
1000098,1,P00105342,F,36-45,1,15233
1000780,1,P00234642,M,26-35,0,15218
1000955,1,P00145642,F,51-55,1,15740
1001117,1,P00002142,M,18-25,0,19302
1000777,3,P00194342,M,18-25,0,2741
1001004,1,P00304542,M,26-35,0,3898
1000303,1,P00223542,M,26-35,1,7686
1000894,1,P00036842,M,18-25,0,15169
1001753,1,P00318742,M,36-45,0,19461
1000776,1,P00222242,F,26-35,0,19352
1001497,1,P00249542,M,51-55,1,15426
1001433,1,P00127242,F,18-25,0,19108
1000058,1,P00305142,M,26-35,0,11659
1000783,1,P00048042,M,26-35,0,15427
1001117,3,P00058342,M,18-25,0,10601
1000677,1,P00222242,M,51-55,1,15844
1001135,1,P00073842,M,51-55,1,19219
1001767,2,P00276042,M,26-35,0,6687
1001063,1,P00025442,M,36-45,0,19180
1001614,1,P00037142,M,36-45,1,11840
1000563,1,P00233142,M,26-35,0,4180
1000192,3,P00058142,M,18-25,0,8160
1001420,1,P00010742,M,18-25,0,19108
1001635,1,P0098342,M,26-35,0,11488
1000363,1,P00274142,M,18-25,1,15217
1001362,1,P00334242,M,36-45,0,8270
1000169,1,P00042942,M,26-35,0,15851
1001387,1,P00217442,F,51-55,1,11670
1000111,3,P00106742,M,36-45,0,13638
1000392,2,P00207642,M,18-25,0,3792
1001100,1,P00359742,M,26-35,1,4335
1000735,1,P00244142,M,26-35,0,11614
1001502,1,P00146942,M,18-25,0,7817
