SEQ,LABEL,SENSOR1,SENSOR2,SENSOR3,SENSOR4,SENSOR5,SENSOR6,SENSOR7,SENSOR8,SENSOR9,SENSOR10,SENSOR11,SENSOR12,SENSOR13,SENSOR14,SENSOR15,SENSOR16,SENSOR17,SENSOR18,SENSOR19,SENSOR20,SENSOR21,SENSOR22,SENSOR23,SENSOR24
39,1,0.617231837,0.489874176,5.18831482,3.752941453,3.014554419,2.695193928,2.937091673,2.959730441,1.638970021,2.213314095,1.695022011,1.582191538,21.2909141,1.583203786,1.497529458,0.438959125,0.465928954,0.88875516,0.590155014,0.744369877,0.376319367,0.328783597,0.266807421,0.558682247
40,2,0.689726809,0.476353468,4.988912254,3.930544609,4.845325344,2.73792133,2.851923012,2.741163228,1.542008903,2.44613879,1.643191045,1.444844528,1.317904574,1.440622899,0.896358247,0.473428569,0.610774952,0.304813585,0.384960714,0.396568682,0.072699367,0.520016959,0.543925221,0.49293993
41,1,0.65356942,0.616243969,0.726601224,3.663370252,5.104584202,2.803521001,2.744952494,2.45674715,1.762423775,2.215936499,4.876333258,1.797237757,1.579173556,1.538235768,1.496078598,0.86509652,0.808813827,0.258432262,0.64931686,0.553000024,0.574713254,0.576495924,0.481915551,0.690986644
42,1,0.59844922,0.645454178,5.024348507,3.642092216,5.14070689,2.768868191,2.699279494,2.66299205,1.872049844,1.575473129,5.185387437,1.586926655,1.526674491,1.599277896,1.34571666,0.878233807,0.299456327,0.374776638,0.589193712,0.162872973,0.363568329,0.450145157,0.592119605,0.317701859
43,1,0.680292843,0.421604546,4.676630286,3.618100065,5.145613571,3.439187929,2.977574773,2.711341106,1.617900327,1.43215347,4.810116731,1.744900537,1.626797869,1.64354223,1.552985688,0.583760205,0.729174727,0.332645761,0.395405299,0.47323457,0.772367276,0.061951935,0.481250088,0.450739955
44,1,0.540938816,0.146648327,5.083350925,3.839397941,4.030642359,2.7215803,2.844101438,1.92080933,1.702685604,1.96384018,5.136321509,1.75021173,1.610496916,1.282052803,1.588959951,0.664371823,0.728718824,0.168719531,0.242285195,1.042743479,0.566934735,0.634918708,0.317417981,0.965698754
45,1,0.286296776,20.80567727,4.912789994,3.581650335,3.885390569,2.739312545,2.990712563,3.380428086,1.653530101,1.572254517,5.108011035,1.518685883,1.590298799,1.447764007,1.169576498,0.689238276,0.587610008,0.423136857,0.761589981,0.445406635,0.05419696,0.447766078,0.673891747,0.578774904
46,1,0.440704842,0.67734842,4.901730779,3.891752166,3.933487383,2.947371903,2.862209354,2.73479948,2.646003644,2.167918881,1.755693759,1.815483132,1.231871309,1.62888796,1.354925573,0.24180095,0.693335264,0.245762923,0.416919933,0.312689666,0.647992053,0.334558198,0.715420934,0.50044622
47,1,0.620035091,0.542089963,5.073857082,2.874365599,4.034567726,2.836677504,3.080542006,2.947390991,2.639785477,1.84471716,1.367310978,1.608940533,1.254384249,1.832664201,1.150776917,0.623479079,0.538073003,0.542404803,0.791624385,0.136522989,0.771606358,0.408531878,0.816620784,0.622853643
48,1,0.71186682,0.622257592,5.384479402,3.646222023,3.791705216,2.907472886,3.165826217,2.765072593,2.585155065,1.876453686,5.135150063,1.704176631,1.494056399,1.613268796,1.300563806,0.774211372,0.65836008,0.189286938,0.710982134,0.75036058,0.370668332,0.503790698,0.631869048,0.384183675
49,1,0.591530944,0.725246283,4.811624029,2.848938949,3.463361283,4.91242801,2.633057604,3.142258481,2.473933288,2.265476953,1.606712474,1.253881822,1.745208197,1.460693864,1.145801241,0.763639933,0.581522961,0.75376328,0.534782278,0.250119592,0.630169965,0.603813267,0.538623731,0.624749274
50,1,0.39627142,0.467250413,5.132522726,3.019079075,3.972942745,4.773783377,3.037621235,3.028499467,2.560727857,2.294028693,1.905659752,1.48257849,1.785108103,1.772028451,1.281472969,1.738798632,0.876254367,0.485764088,0.331881295,0.490246661,0.837916696,0.64333532,0.69556397,0.4743973
51,1,0.23805167,0.369865745,4.752357498,3.530946517,3.81092808,4.970881067,3.353678439,2.948302772,2.882036652,1.556991909,1.416257128,1.450961584,1.467933661,1.580438997,0.995474394,1.146791639,0.494472755,0.266655368,0.41239245,0.386563535,0.344844761,0.494074577,0.333573465,0.730170013
52,1,0.836172519,0.607367572,4.909383702,4.096473692,3.562803143,5.111821616,2.818829798,3.766182772,2.293549192,1.499505964,1.355843126,1.425052497,1.490313114,1.573426946,1.382883909,1.577843234,0.619676718,0.389005414,0.429947459,0.257352525,4.908035813,0.489307638,0.350343669,0.60186556
53,1,0.694541783,0.578636935,4.841634385,3.791734764,3.727087567,5.096134126,3.368088107,5.200869984,2.883975619,1.842934549,1.545053107,0.801959389,1.405811142,1.633669153,1.258551098,0.669829482,0.416544084,0.715448773,0.358972615,0.722022607,0.293812172,0.580729814,0.300613902,0.744146947
54,1,0.766844728,0.761861612,4.696091425,3.820297347,3.62578374,2.703542511,3.114324122,4.599527254,2.702292496,2.19519216,1.765791958,1.5979336,1.636735955,1.565708633,1.521319914,0.735852564,0.408856574,0.653079873,0.42982324,0.633794366,0.276014046,0.555754963,0.700748657,0.790679857
55,1,0.671856014,0.834179791,5.082477544,5.127845814,4.067989326,4.881851921,3.034556259,5.025648669,2.668708121,2.155655784,1.532663182,1.609671536,1.708539589,1.062565379,1.289471613,1.82558822,0.912269324,0.215906417,0.34134119,0.448184432,0.670589522,0.756696303,0.696051345,0.879430821
56,1,0.495195392,0.555630164,5.123611552,4.882101861,3.600233492,2.890749917,2.608198731,4.811265264,3.011716818,1.958822759,1.528712492,1.894947031,1.458396162,1.345902711,1.624902533,1.393200812,1.043289994,0.42160973,0.764142618,0.225317021,0.34555044,0.75728064,0.877062624,0.74245217
57,1,0.954135455,0.627762107,0.782326995,5.280232008,3.538868463,3.098770042,2.544907575,5.467148323,3.241413645,1.936046793,5.12085204,1.276927065,1.37590081,1.621505917,1.81360807,1.757433816,0.409732909,0.394121039,0.449106507,0.129081971,0.408916379,0.262436485,1.003128872,0.375619316
58,1,0.751932365,1.053790596,5.18526054,4.870298807,4.03857746,5.052114334,2.765843942,4.988726381,2.843689234,2.371198372,1.406639342,1.241750327,1.387666488,1.59652384,1.348302402,1.818563715,0.456524304,0.181046647,0.668018818,0.544552792,0.582310156,0.786777576,0.829412949,0.458528023
59,1,0.681651941,0.586164787,2.545009014,5.208186055,3.982858487,4.685799366,2.933776464,3.21398423,2.805583641,21.98609254,5.090263971,1.347248698,1.342852938,1.605914082,1.351264772,1.519314944,0.669771262,0.491648135,0.306623465,0.284597015,1.037926383,5.148322218,0.563585705,0.541106295
60,1,0.651969178,0.526012956,5.301907968,4.995597456,3.922670912,4.606785559,2.911961212,2.8152106,2.912100248,2.364080076,5.11477372,1.465504594,1.11890649,1.509374693,0.967845116,1.383275376,0.830099264,0.707551839,0.585444677,0.419602537,0.734849967,4.947656085,0.180968361,0.505769814
61,1,0.920990283,0.943281968,5.088374491,4.839719508,3.98621213,4.857854971,5.282665873,2.740843651,2.841797723,2.134708826,4.97043163,1.498669029,1.351678289,1.053588539,1.398524007,1.532636452,0.947673162,0.181291033,0.570062476,0.325887711,4.795209574,0.549942788,0.556394214,0.767867738
62,1,0.533812546,0.709684294,0.629757779,4.954787066,3.641827147,4.733249828,2.942374168,2.989038811,2.783885382,2.223834802,2.184566023,1.036164195,1.535784679,1.427190529,1.345087164,1.558475863,0.503338728,0.426088117,0.724904428,0.236270906,0.684058521,0.8086963,20.23541355,1.180962685
63,1,0.467875407,0.613537089,4.927500838,5.268771695,4.144063263,5.095766952,2.709844404,2.924636043,2.770727727,1.528601749,2.118470973,1.504433909,1.499569814,1.409148938,1.456176944,1.404743508,0.559110235,0.295194601,0.37577944,0.544031866,0.334802219,0.539954281,0.712655527,0.721488966
64,1,0.77695502,0.666788557,4.931746992,4.527786673,3.625706864,4.873384901,2.997585227,2.922728964,2.937602387,2.318734849,2.020841629,1.43316552,1.32898058,0.794285521,1.430971565,1.36239925,0.894466175,0.539359628,0.676011493,0.244735016,0.195479692,0.559553676,0.473696551,0.812398051
65,1,0.710345175,0.982200533,0.888429534,4.966094118,3.435922553,4.657079965,2.979181634,2.883830053,2.962263151,2.421952184,1.812283444,1.719891106,1.305848782,1.180566546,1.285440035,1.199522274,0.959737066,0.538629535,0.31333426,0.405354317,0.540889681,0.835010997,0.547340334,0.8534037
66,0,0.629447427,0.874434472,4.795633632,4.951508196,3.80713377,5.011412719,2.960673483,2.865660627,2.544994374,2.468233431,1.95384611,1.295814277,1.387076914,1.486305334,0.929543675,1.511969375,0.32723781,0.646776648,0.36586326,0.543820621,0.700803872,0.54398636,0.863354891,0.687715014
67,0,0.785418699,0.82626123,0.43311826,5.024339486,3.571484115,5.149685367,2.8023867,2.42988336,2.63638012,2.44130763,2.085739206,0.961583358,1.403051259,1.257014279,1.012393271,1.564128019,0.403477511,0.570808496,0.599753912,0.328894766,0.62522932,0.577089368,0.791918621,0.548405774
68,0,0.740776763,0.828001421,0.716837551,0.882575036,3.98394821,5.146920907,3.216974133,2.953766454,2.620228914,2.381850867,1.650941744,1.190910923,1.520057424,1.327316798,1.631939315,1.474022324,0.695927925,19.98179639,0.484217741,0.249589989,0.638450125,1.042239879,0.80211844,0.553524774
69,0,0.649562124,0.903086126,0.915424311,0.853171805,3.514593467,5.079440393,2.633331022,3.04521762,2.573162911,2.837191125,1.876760843,0.994876944,1.399866572,1.35590512,1.202848229,1.475079385,0.622718515,0.575146383,0.474675645,0.50243835,0.464009429,0.595338452,0.487489488,0.778597069
70,0,0.983941262,0.738844693,0.602479063,5.121525217,3.893317712,4.91642282,2.837245622,3.266254367,3.155520186,2.378518914,2.175822192,1.448258279,1.29608012,1.455472635,1.086274193,1.495953872,1.506252648,0.356143702,0.63954949,0.821620464,0.431303691,0.994030222,0.853544365,0.583021421
71,0,0.685418969,1.172201871,0.588608093,21.25176932,4.084405085,5.022084967,4.776299872,2.699012777,2.74013584,2.762740044,1.991492958,1.212120187,1.406905616,1.350470922,1.188523948,1.274760089,1.343948975,0.722155123,0.537100186,0.640778845,0.738840684,0.883229278,0.349160352,1.128880131
72,0,0.718611045,1.193716356,0.650606307,0.825032337,3.63593388,3.219573925,5.095932352,2.927178815,2.804784544,3.01834647,2.032004352,1.454672859,1.297314227,0.979542116,1.213747771,1.378784903,0.523258545,0.593122037,0.75666295,0.408632497,0.481391092,0.634034307,0.932093785,0.665171358
73,0,0.733317628,0.877829972,1.021069507,1.228637619,3.982952987,4.83152593,3.142068332,2.709781256,3.027451955,3.093525091,2.046825742,1.36755969,1.010071538,1.130800186,1.22206093,1.005653922,0.666469435,0.779059766,0.791148492,1.110773154,0.621949824,4.893066744,0.834130656,0.907881288
74,0,0.626518962,1.20405354,0.964369978,5.185029062,4.07788017,4.925221837,5.166407837,3.023995566,2.887462068,2.755443056,1.890687193,1.47003719,1.341082783,1.252122764,1.480200941,1.258672923,0.58094837,0.582372307,0.500454865,0.563362804,1.063018387,5.028480752,0.607105959,0.630097339
75,0,0.840232634,0.874299176,0.795347512,4.764640794,3.985400267,4.553953323,2.733548312,2.82610899,2.972061994,2.518806742,1.691797926,1.597472154,1.247660761,1.334131774,0.909527123,1.432794008,0.345990355,0.485131192,0.710449941,0.93409001,0.856154,5.145016345,1.024186246,1.006214472
76,0,0.936048019,0.837849588,1.067886526,4.477652602,3.935524175,5.01009843,3.206175039,3.129782278,2.792915907,2.710430432,1.829554681,1.583228084,1.198863749,1.233109489,1.052206693,1.175969208,1.578279156,0.536078731,0.732553472,0.643393861,0.78687779,4.500669443,0.290089039,0.869718289
77,0,0.681763415,0.872153969,0.491713706,4.306263224,4.032538564,4.89254107,2.990660468,2.773543631,2.908414649,2.631542412,1.966132946,1.318910526,1.211856521,1.248685739,1.458090415,1.451441875,1.459031292,0.713974074,0.614645544,0.594675501,0.395794086,1.136462271,0.555252377,1.088956163
78,0,0.784771804,1.202444112,1.316477785,5.000194265,3.873187179,5.147805536,2.958336315,3.094802251,2.848022713,3.050603528,1.840108744,1.361293357,1.382616836,1.263185186,1.060865826,1.200028735,1.46620897,0.745422381,0.372180687,0.459605722,0.388173861,4.761306974,0.555158144,0.556618118
79,0,1.006656953,0.223922577,1.041357175,4.699957517,3.62833712,4.952006732,2.745837026,2.891304985,2.702490836,2.715685225,1.733163942,1.47224292,1.039644033,1.129365366,1.373650051,0.992228248,1.192032117,0.372442439,0.628288678,0.348443637,0.456333072,5.153738043,0.660813404,0.944197667
80,0,1.158362759,0.811157049,0.517387034,4.835610216,23.81963765,4.967264008,2.289493289,2.820344148,3.041249376,2.558646167,2.166949678,1.430236857,1.436341259,1.113384731,1.074756604,1.996883973,0.970408136,0.635221228,1.053187319,0.507358931,0.754941973,4.779968787,0.790834229,0.617752254
81,0,0.942478307,1.071994451,1.042096181,4.75865895,4.061063088,5.220314454,2.786045855,2.810751505,2.847830021,2.37381708,1.515980458,1.408471179,1.112953024,1.376073915,0.955002509,1.399317865,0.579750821,0.44044868,0.802643907,0.454152803,0.591489139,4.941623465,1.257708171,1.019957593
82,0,1.083438888,1.095315574,1.259156359,4.515777275,3.952620533,5.446986509,2.82368941,3.030432034,3.005475287,2.702392291,2.282021,1.167183856,1.29990822,1.229958021,1.217079362,1.379171454,0.897666456,0.698049156,0.712494764,0.518417528,1.054185696,5.306681159,1.249089441,0.799862851
83,0,1.202648621,1.228481129,0.878552552,4.643708118,4.143152179,4.980054068,2.676823502,2.941296693,2.736303787,2.531755912,1.491946321,0.8573421,0.727030183,1.455625546,1.208422112,0.768751413,0.868570987,0.461102411,0.685336765,0.645781913,0.559804295,5.163532802,0.795220148,1.498232065
84,0,0.990301344,0.95649967,0.82686423,4.653521117,3.591023982,4.942074424,2.884223702,3.122293874,3.088716704,2.603591515,1.64447517,1.120309002,1.263735207,0.959683233,1.100519151,1.392617361,0.825526273,0.462083503,0.555972714,0.608957738,0.610995189,4.640209904,1.156510533,1.14754168
85,0,1.026365591,0.959908445,0.83504926,4.603336692,4.01032906,5.38389436,2.800258064,2.701668486,2.573940413,2.753981382,1.863164194,0.948514094,1.176187723,1.042085286,0.831183955,1.146843591,1.591199135,0.700899426,0.80074832,0.443133514,0.375222137,4.47787364,1.197074274,1.10335631
86,0,1.089200386,0.722793845,0.907964469,4.98109016,3.67545373,4.798923231,3.183716391,2.787431981,2.549734753,2.699789219,1.900898726,1.228563776,1.267629773,1.247828461,0.97822453,0.782404485,1.70909106,1.663222026,0.573772591,0.269237059,0.192509486,4.976935773,21.70217855,1.360578327
87,0,1.141181551,0.968840179,1.461423617,4.919833399,3.937771699,5.446160412,3.023066366,2.962380043,2.49978577,2.631867174,1.642193409,1.438887316,0.636345837,0.999382193,0.721631943,1.023253359,1.455813416,1.21230703,0.841201067,0.599050867,0.734086214,4.976114835,0.915887983,0.879840893
88,0,1.132574679,1.587782766,1.239827852,5.0823369,3.931870441,4.800122128,2.900447788,2.690843005,2.556990718,3.064091507,1.31667509,0.918108541,0.879210588,0.999844797,1.146744402,1.073385161,1.399132568,1.062695483,0.557271556,0.488145739,0.168646206,0.947048855,1.059903957,0.798361979
89,0,1.171810689,1.186639947,2.061724351,4.977979635,3.736706165,5.304918275,22.21480412,2.761743723,2.863865143,2.555402164,1.87325647,4.725285975,1.085196421,0.992285003,0.79141663,1.573175478,0.581567566,1.531078345,0.538738089,0.255500208,0.556947476,0.984168099,1.265600853,1.085920441
90,0,1.131140578,1.313000335,1.290503814,4.720513901,3.759323094,4.884886237,5.249330084,2.340682862,2.588240324,2.219594736,1.643161099,0.911663866,1.1005949,0.987667144,0.728718724,1.035208267,1.455108714,0.443382017,0.865567882,0.70666772,0.638863374,4.884548215,0.846172531,1.080573439
91,0,1.359880353,1.060305289,2.206929114,4.74555325,4.085448312,4.766616028,5.068251557,2.785919679,2.575703437,2.246909145,2.096966235,0.850233076,0.818181329,1.079625886,0.740735457,1.216582183,1.209444088,0.70495644,0.689887999,0.621094339,0.813034433,4.725954107,1.365289038,1.103054449
92,0,1.248121491,1.15460087,2.639393382,5.025182721,4.178625566,5.350997341,5.06272805,2.731006189,2.429636231,2.10701781,1.88001102,0.777199918,0.86785397,1.098100311,0.97128939,0.720147928,1.450741881,0.480127837,0.675810595,20.24247561,0.56306309,0.6857837,1.162718222,1.3444629
