REG_NO,GRE,TOEFL,UNIV_RATING,SOP,LOR,CGPA,RESEARCH,ADMIT
375,315,105,D,2.0,2.5,7.65,0,Denied
376,304,101,D,2.0,2.5,7.66,0,Denied
377,297,96,D,2.5,2.0,7.43,0,Denied
378,290,100,E,1.5,2.0,7.56,0,Denied
379,303,98,E,2.0,2.5,7.65,0,Denied
380,311,99,E,2.5,3.0,8.43,1,Denied
381,322,104,C,3.5,4.0,8.84,1,Admitted
382,319,105,C,3.0,3.5,8.67,1,Denied
383,324,110,B,4.5,4.0,9.15,1,Admitted
384,300,100,C,3.0,3.5,8.26,0,Denied
385,340,113,B,5.0,5.0,9.74,1,Admitted
386,335,117,A,5.0,5.0,9.82,1,Admitted
387,302,101,D,2.5,3.5,7.96,0,Denied
388,307,105,D,2.0,3.5,8.1,0,Denied
389,296,97,D,1.5,2.0,7.8,0,Denied
390,320,108,C,3.5,4.0,8.44,1,Admitted
391,314,102,D,2.0,2.5,8.24,0,Denied
392,318,106,C,2.0,3.0,8.65,0,Denied
393,326,112,B,4.0,3.5,9.12,1,Admitted
394,317,104,D,3.0,3.0,8.76,0,Admitted
395,329,111,B,4.5,4.0,9.23,1,Admitted
396,324,110,C,3.5,3.5,9.04,1,Admitted
397,325,67,C,3.0,3.5,9.11,1,Admitted
398,330,116,B,5.0,4.5,9.45,1,Admitted
399,312,103,C,3.5,4.0,8.78,0,Denied
400,333,117,B,5.0,4.0,9.66,1,Admitted
